SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
1s 207369.31 us	 	---	92				
1s 207371.31 us	 	---		1001			
1s 207373.31 us	 	---			19295743		
1s 207422.04 us	 	---				19296744	
1s 217386.33 us	 	---	93				
1s 217388.33 us	 	---		1001			
1s 217390.37 us	 	---			19305743		
1s 217392.42 us	 	---				19306744	
1s 227397.50 us	 	---	94				
1s 227399.54 us	 	---		1001			
1s 227401.54 us	 	---			19315743		
1s 227403.54 us	 	---				19316744	
1s 237265.94 us	 	---	95				
1s 237397.65 us	 	---		1001			
1s 237399.65 us	 	---			19325743		
1s 237401.69 us	 	---				19326744	
1s 247296.50 us	 	---	96				
1s 247298.50 us	 	---		1001			
1s 247300.50 us	 	---			19335743		
1s 247302.54 us	 	---				19336744	
1s 257326.85 us	 	---	97				
1s 257328.85 us	 	---		1001			
1s 257330.85 us	 	---			19345743		
1s 257410.71 us	 	---				19346744	
1s 267359.44 us	 	---	98				
1s 267361.48 us	 	---		1001			
1s 267363.48 us	 	---			19355743		
1s 267406.25 us	 	---				19356744	
1s 277370.67 us	 	---	99				
1s 277372.67 us	 	---		1001			
1s 277374.67 us	 	---			19365743		
1s 277376.67 us	 	---				19366744	
1s 287223.62 us	 	---	100				
1s 287384.44 us	 	---		1001			
1s 287386.44 us	 	---			19375743		
1s 287388.44 us	 	---				19376744	
1s 297256.02 us	 	---	101				
1s 297381.85 us	 	---		1002			
1s 297383.85 us	 	---			19385743		
1s 297385.85 us	 	---				19386745	
1s 307286.54 us	 	---	102				
1s 307288.54 us	 	---		1002			
1s 307290.54 us	 	---			19395743		
1s 307292.54 us	 	---				19396745	
1s 317316.94 us	 	---	103				
1s 317318.94 us	 	---		1002			
1s 317320.94 us	 	---			19405743		
1s 317393.17 us	 	---				19406745	
1s 327349.46 us	 	---	104				
1s 327351.46 us	 	---		1001			
1s 327353.50 us	 	---			19415744		
1s 327390.21 us	 	---				19416745	
1s 337354.50 us	 	---	105				
1s 337356.50 us	 	---		1001			
1s 337358.54 us	 	---			19425744		
1s 337360.58 us	 	---				19426745	
1s 347213.73 us	 	---	106				
1s 347368.40 us	 	---		1002			
1s 347370.40 us	 	---			19435743		
1s 347372.40 us	 	---				19436745	
1s 357246.08 us	 	---	107				
1s 357248.08 us	 	---		1002			
1s 357250.12 us	 	---			19445743		
1s 357252.17 us	 	---				19446745	
1s 367276.62 us	 	---	108				
1s 367278.62 us	 	---		1001			
1s 367280.67 us	 	---			19455744		
1s 367282.67 us	 	---				19456745	
1s 377307.15 us	 	---	109				
1s 377309.15 us	 	---		1001			
1s 377311.15 us	 	---			19465744		
1s 377376.87 us	 	---				19466745	
1s 387339.54 us	 	---	110				
1s 387341.54 us	 	---		1001			
1s 387343.54 us	 	---			19475744		
1s 387345.54 us	 	---				19476745	
1s 397338.56 us	 	---	111				
1s 397340.56 us	 	---		1001			
1s 397342.56 us	 	---			19485744		
1s 397344.56 us	 	---				19486745	
1s 407203.77 us	 	---	112				
1s 407352.60 us	 	---		1001			
1s 407354.60 us	 	---			19495744		
1s 407356.65 us	 	---				19496745	
1s 417236.33 us	 	---	113				
1s 417238.33 us	 	---		1001			
1s 417240.38 us	 	---			19505744		
1s 417242.42 us	 	---				19506745	
1s 427266.69 us	 	---	114				
1s 427268.69 us	 	---		1001			
1s 427270.69 us	 	---			19515744		
1s 427272.69 us	 	---				19516745	
1s 437297.21 us	 	---	115				
1s 437299.21 us	 	---		1001			
1s 437301.21 us	 	---			19525744		
1s 437361.21 us	 	---				19526745	
1s 447325.37 us	 	---	116				
1s 447327.38 us	 	---		1001			
1s 447329.38 us	 	---			19535744		
1s 447331.38 us	 	---				19536745	
1s 457325.40 us	 	---	117				
1s 457327.40 us	 	---		1001			
1s 457329.40 us	 	---			19545744		
1s 457331.40 us	 	---				19546745	
1s 467193.90 us	 	---	118				
1s 467336.56 us	 	---		1001			
1s 467338.56 us	 	---			19555744		
1s 467340.60 us	 	---				19556745	
1s 477224.38 us	 	---	119				
1s 477226.38 us	 	---		1001			
1s 477228.37 us	 	---			19565744		
1s 477230.38 us	 	---				19566745	
1s 487256.77 us	 	---	120				
1s 487258.77 us	 	---		1002			
1s 487260.77 us	 	---			19575744		
1s 487262.77 us	 	---				19576746	
1s 497287.33 us	 	---	121				
1s 497289.38 us	 	---		1002			
1s 497291.38 us	 	---			19585744		
1s 497345.02 us	 	---				19586746	
1s 507309.44 us	 	---	122				
1s 507311.48 us	 	---		1002			
1s 507313.48 us	 	---			19595744		
1s 507315.48 us	 	---				19596746	
1s 517315.60 us	 	---	123				
1s 517317.60 us	 	---		1002			
1s 517319.60 us	 	---			19605744		
1s 517321.60 us	 	---				19606746	
1s 527183.96 us	 	---	124				
1s 527320.62 us	 	---		1001			
1s 527322.62 us	 	---			19615745		
1s 527324.63 us	 	---				19616746	
1s 537214.44 us	 	---	125				
1s 537216.44 us	 	---		1001			
1s 537218.44 us	 	---			19625745		
1s 537220.44 us	 	---				19626746	
1s 547247.06 us	 	---	126				
1s 547249.10 us	 	---		1001			
1s 547327.08 us	 	---			19635745		
1s 547329.08 us	 	---				19636746	
1s 557277.38 us	 	---	127				
1s 557279.38 us	 	---		1001			
1s 557281.38 us	 	---			19645745		
1s 557329.10 us	 	---				19646746	
1s 567293.52 us	 	---	128				
1s 567295.52 us	 	---		1001			
1s 567297.56 us	 	---			19655745		
1s 567299.60 us	 	---				19656746	
1s 577305.69 us	 	---	129				
1s 577307.69 us	 	---		1001			
1s 577309.69 us	 	---			19665745		
1s 577311.69 us	 	---				19666746	
1s 587174.17 us	 	---	130				
1s 587304.71 us	 	---		1001			
1s 587306.71 us	 	---			19675745		
1s 587308.71 us	 	---				19676746	
1s 597204.56 us	 	---	131				
1s 597206.56 us	 	---		1001			
1s 597208.56 us	 	---			19685745		
1s 597210.60 us	 	---				19686746	
1s 607235.10 us	 	---	132				
1s 607237.15 us	 	---		1001			
1s 607239.15 us	 	---			19695745		
1s 607315.90 us	 	---				19696746	
1s 617267.46 us	 	---	133				
1s 617269.46 us	 	---		1001			
1s 617271.46 us	 	---			19705745		
1s 617313.19 us	 	---				19706746	
1s 627277.60 us	 	---	134				
1s 627279.60 us	 	---		1001			
1s 627281.65 us	 	---			19715745		
1s 627283.69 us	 	---				19716746	
1s 637131.73 us	 	---	135				
1s 637291.40 us	 	---		1001			
1s 637293.40 us	 	---			19725745		
1s 637295.40 us	 	---				19726746	
1s 647164.25 us	 	---	136				
1s 647288.79 us	 	---		1002			
1s 647290.79 us	 	---			19735745		
1s 647292.83 us	 	---				19736747	
1s 657194.60 us	 	---	137				
1s 657196.60 us	 	---		1002			
1s 657198.60 us	 	---			19745745		
1s 657200.60 us	 	---				19746747	
1s 667225.13 us	 	---	138				
1s 667227.12 us	 	---		1002			
1s 667229.12 us	 	---			19755745		
1s 667299.98 us	 	---				19756747	
1s 677257.67 us	 	---	139				
1s 677259.67 us	 	---		1002			
1s 677261.67 us	 	---			19765745		
1s 677297.27 us	 	---				19766747	
1s 687261.69 us	 	---	140				
1s 687263.69 us	 	---		1001			
1s 687265.69 us	 	---			19775746		
1s 687267.69 us	 	---				19776747	
1s 697121.77 us	 	---	141				
1s 697275.48 us	 	---		1001			
1s 697277.48 us	 	---			19785746		
1s 697279.48 us	 	---				19786747	
1s 707154.38 us	 	---	142				
1s 707156.38 us	 	---		1001			
1s 707158.37 us	 	---			19795746		
1s 707160.38 us	 	---				19796747	
1s 717184.85 us	 	---	143				
1s 717186.85 us	 	---		1001			
1s 717188.90 us	 	---			19805746		
1s 717190.90 us	 	---				19806747	
1s 727215.25 us	 	---	144				
1s 727217.29 us	 	---		1001			
1s 727219.29 us	 	---			19815746		
1s 727284.19 us	 	---				19816747	
1s 737247.75 us	 	---	145				
1s 737249.75 us	 	---		1001			
1s 737251.75 us	 	---			19825746		
1s 737253.75 us	 	---				19826747	
1s 747245.77 us	 	---	146				
1s 747247.77 us	 	---		1001			
1s 747249.77 us	 	---			19835746		
1s 747251.77 us	 	---				19836747	
1s 757111.98 us	 	---	147				
1s 757259.56 us	 	---		1001			
1s 757261.56 us	 	---			19845746		
1s 757263.56 us	 	---				19846747	
1s 767142.37 us	 	---	148				
1s 767144.38 us	 	---		1001			
1s 767146.38 us	 	---			19855746		
1s 767150.37 us	 	---				19856747	
1s 777174.94 us	 	---	149				
1s 777176.94 us	 	---		1001			
1s 777178.94 us	 	---			19865746		
1s 777180.98 us	 	---				19866747	
1s 787205.29 us	 	---	150				
1s 787207.29 us	 	---		1001			
1s 787209.29 us	 	---			19875746		
1s 787268.15 us	 	---				19876747	
1s 797232.46 us	 	---	151				
1s 797234.50 us	 	---		1001			
1s 797236.50 us	 	---			19885746		
1s 797238.50 us	 	---				19886747	
1s 807233.60 us	 	---	152				
1s 807235.65 us	 	---		1002			
1s 807237.65 us	 	---			19895746		
1s 807239.65 us	 	---				19896748	
1s 817102.06 us	 	---	153				
1s 817243.65 us	 	---		1002			
1s 817245.69 us	 	---			19905746		
1s 817247.69 us	 	---				19906748	
1s 827132.46 us	 	---	154				
1s 827134.46 us	 	---		1002			
1s 827136.46 us	 	---			19915746		
1s 827138.46 us	 	---				19916748	
1s 837164.98 us	 	---	155				
1s 837166.98 us	 	---		1002			
1s 837168.98 us	 	---			19925746		
1s 837170.98 us	 	---				19926748	
1s 847195.50 us	 	---	156				
1s 847197.50 us	 	---		1001			
1s 847199.50 us	 	---			19935747		
1s 847252.35 us	 	---				19936748	
1s 857216.79 us	 	---	157				
1s 857218.83 us	 	---		1001			
1s 857220.83 us	 	---			19945747		
1s 857222.83 us	 	---				19946748	
1s 867223.69 us	 	---	158				
1s 867225.69 us	 	---		1001			
1s 867227.69 us	 	---			19955747		
1s 867229.69 us	 	---				19956748	
1s 877092.17 us	 	---	159				
1s 877227.98 us	 	---		1001			
1s 877229.98 us	 	---			19965747		
1s 877231.98 us	 	---				19966748	
1s 887122.71 us	 	---	160				
1s 887124.71 us	 	---		1001			
1s 887126.71 us	 	---			19975747		
1s 887128.71 us	 	---				19976748	
1s 897155.06 us	 	---	161				
1s 897157.10 us	 	---		1001			
1s 897235.29 us	 	---			19985747		
1s 897237.29 us	 	---				19986748	
1s 907185.58 us	 	---	162				
1s 907187.58 us	 	---		1001			
1s 907189.62 us	 	---			19995747		
1s 907236.31 us	 	---				19996748	
1s 917200.62 us	 	---	163				
1s 917202.62 us	 	---		1001			
1s 917204.63 us	 	---			20005747		
1s 917206.62 us	 	---				20006748	
1s 927213.77 us	 	---	164				
1s 927215.81 us	 	---		1001			
1s 927217.81 us	 	---			20015747		
1s 927219.81 us	 	---				20016748	
1s 937082.29 us	 	---	165				
1s 937211.81 us	 	---		1001			
1s 937213.81 us	 	---			20025747		
1s 937215.81 us	 	---				20026748	
1s 947112.75 us	 	---	166				
1s 947114.75 us	 	---		1001			
1s 947116.75 us	 	---			20035747		
1s 947118.75 us	 	---				20036748	
1s 957143.15 us	 	---	167				
1s 957145.15 us	 	---		1001			
1s 957147.15 us	 	---			20045747		
1s 957223.00 us	 	---				20046748	
1s 967175.67 us	 	---	168				
1s 967177.67 us	 	---		1002			
1s 967179.67 us	 	---			20055747		
1s 967220.40 us	 	---				20056749	
1s 977184.94 us	 	---	169				
1s 977186.94 us	 	---		1002			
1s 977188.94 us	 	---			20065747		
1s 977190.94 us	 	---				20066749	
1s 987039.88 us	 	---	170				
1s 987198.46 us	 	---		1002			
1s 987200.50 us	 	---			20075747		
1s 987202.50 us	 	---				20076749	
1s 997072.27 us	 	---	171				
1s 997195.88 us	 	---		1001			
1s 997197.92 us	 	---			20085748		
1s 997199.92 us	 	---				20086749	
2s 7102.79 us	 	---	172				
2s 7104.79 us	 	---		1001			
2s 7106.79 us	 	---			20095748		
2s 7108.83 us	 	---				20096749	
2s 17133.31 us	 	---	173				
2s 17135.31 us	 	---		1001			
2s 17137.35 us	 	---			20105748		
2s 17207.42 us	 	---				20106749	
2s 27165.75 us	 	---	174				
2s 27167.75 us	 	---		1001			
2s 27169.75 us	 	---			20115748		
2s 27171.75 us	 	---				20116749	
2s 37168.73 us	 	---	175				
2s 37170.73 us	 	---		1001			
2s 37172.73 us	 	---			20125748		
2s 37174.73 us	 	---				20126749	
2s 47029.96 us	 	---	176				
2s 47182.75 us	 	---		1001			
2s 47184.75 us	 	---			20135748		
2s 47186.75 us	 	---				20136749	
2s 57062.42 us	 	---	177				
2s 57064.42 us	 	---		1001			
2s 57066.42 us	 	---			20145748		
2s 57068.42 us	 	---				20146749	
2s 67092.81 us	 	---	178				
2s 67094.81 us	 	---		1001			
2s 67096.81 us	 	---			20155748		
2s 67098.81 us	 	---				20156749	
2s 77123.35 us	 	---	179				
2s 77125.40 us	 	---		1001			
2s 77127.40 us	 	---			20165748		
2s 77191.04 us	 	---				20166749	
2s 87155.69 us	 	---	180				
2s 87157.69 us	 	---		1001			
2s 87159.69 us	 	---			20175748		
2s 87161.69 us	 	---				20176749	
2s 97152.96 us	 	---	181				
2s 97154.96 us	 	---		1001			
2s 97156.96 us	 	---			20185748		
2s 97158.96 us	 	---				20186749	
2s 107019.90 us	 	---	182				
2s 107166.73 us	 	---		1002			
2s 107168.77 us	 	---			20195748		
2s 107170.77 us	 	---				20196750	
2s 117050.40 us	 	---	183				
2s 117052.40 us	 	---		1002			
2s 117054.40 us	 	---			20205748		
2s 117056.44 us	 	---				20206750	
2s 127082.77 us	 	---	184				
2s 127084.77 us	 	---		1002			
2s 127086.77 us	 	---			20215748		
2s 127088.81 us	 	---				20216750	
2s 137113.27 us	 	---	185				
2s 137115.27 us	 	---		1001			
2s 137117.27 us	 	---			20225749		
2s 137175.00 us	 	---				20226750	
2s 147139.40 us	 	---	186				
2s 147141.40 us	 	---		1001			
2s 147143.44 us	 	---			20235749		
2s 147145.48 us	 	---				20236750	
2s 157141.52 us	 	---	187				
2s 157143.52 us	 	---		1002			
2s 157145.52 us	 	---			20245748		
2s 157147.52 us	 	---				20246750	
2s 167009.81 us	 	---	188				
2s 167150.40 us	 	---		1001			
2s 167152.40 us	 	---			20255749		
2s 167154.40 us	 	---				20256750	
2s 177040.31 us	 	---	189				
2s 177042.31 us	 	---		1001			
2s 177044.31 us	 	---			20265749		
2s 177046.31 us	 	---				20266750	
2s 187072.79 us	 	---	190				
2s 187074.79 us	 	---		1001			
2s 187076.79 us	 	---			20275749		
2s 187078.83 us	 	---				20276750	
2s 197103.17 us	 	---	191				
2s 197105.17 us	 	---		1001			
2s 197107.21 us	 	---			20285749		
2s 197159.02 us	 	---				20286750	
2s 207123.27 us	 	---	192				
2s 207125.27 us	 	---		1001			
2s 207127.27 us	 	---			20295749		
2s 207129.27 us	 	---				20296750	
2s 217131.40 us	 	---	193				
2s 217133.40 us	 	---		1001			
2s 217135.40 us	 	---			20305749		
2s 217137.40 us	 	---				20306750	
2s 226999.85 us	 	---	194				
2s 227134.27 us	 	---		1001			
2s 227136.27 us	 	---			20315749		
2s 227138.27 us	 	---				20316750	
2s 237030.17 us	 	---	195				
2s 237032.17 us	 	---		1001			
2s 237034.17 us	 	---			20325749		
2s 237036.17 us	 	---				20326750	
2s 247062.65 us	 	---	196				
2s 247064.65 us	 	---		1001			
2s 247142.75 us	 	---			20335749		
2s 247144.75 us	 	---				20336750	
2s 257093.06 us	 	---	197				
2s 257095.10 us	 	---		1001			
2s 257097.10 us	 	---			20345749		
2s 257142.88 us	 	---				20346750	
2s 267107.25 us	 	---	198				
2s 267109.25 us	 	---		1002			
2s 267111.25 us	 	---			20355749		
2s 267113.25 us	 	---				20356751	
2s 276957.15 us	 	---	199				
2s 277122.98 us	 	---		1002			
2s 277124.98 us	 	---			20365749		
2s 277126.98 us	 	---				20366751	
2s 286989.62 us	 	---	200				
2s 287118.35 us	 	---		1002			
